Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
46802,46802,329.17371576375,53.43815330299,1981520480999120896,0.6156,5.9,-4.905,-3.28,13.961823,0.002769,14.257243,0.003022,13.500622,0.003828,13.283728,0.038587,0.756621,0.295421,0.461201,,7067.0,1370.8933,1.7092,9.6442585,1.651,1.11,0.2833641,A      
72610,72610,333.83464216669,66.93229537002,2219001454848606592,0.4088,3.78,-2.818,-2.52,14.629772,0.002804,15.022331,0.003016,14.033958,0.003873,13.675916,0.133947,0.988374,0.392559,0.595815,,7190.9,3436.8132,3.8068,15.748686,1.816,1.121,0.3790009,A      
56024,56024,283.03578826744,31.28747188136,2042178750786002432,0.9155,7.22,3.861,-6.101,11.592935,0.002779,11.745804,0.002873,11.328595,0.003801,11.197541,0.01575,0.417209,0.152869,0.264339,,7726.9,1031.4485,2.7253,24.015692,2.004,0.902,0.41229445,A      
80467,80467,101.87824670061,-15.65043732697,2947267207753722368,2.2237,3.272,0.415,-3.246,10.457915,0.002779,10.584815,0.002834,10.226287,0.003792,10.120812,0.009938,0.358528,0.1269,0.231628,1.6623,8449.2,474.4189,1.9271,15.42119,1.889,0.537,0.58320516,A      
108410,8410,82.92079641001,42.01275606267,194563775154576512,0.0477,0.676,0.027,-0.676,15.954883,0.003297,16.354937,0.005991,15.318576,0.004575,,,1.036361,0.400054,0.636307,,9893.0,3086.6992,1.7044,24.5024,2.197,,0.6750779,B      
28485,28485,160.30342077167,23.59279619649,723258306370470016,1.1832,24.83,14.199,-20.369,11.255134,0.0028,11.335288,0.002914,11.099308,0.003825,11.040862,0.013119,0.23598,0.080154,0.155826,1.6825,8056.0,966.466,2.4825,17.056992,1.889,0.8,0.51188695,A      
35405,35405,313.50991889425,15.86431554782,1764290071761619968,2.7396,7.045,5.194,-4.76,10.309305,0.00278,10.417842,0.002841,10.107403,0.003801,10.022131,0.012492,0.310439,0.108537,0.201902,,7889.1,341.3501,1.4598,7.445196,1.589,0.764,0.37095556,A      
182188,82188,307.66681489342,15.82388091078,1805583880214182016,0.3237,2.982,-0.756,-2.885,15.968403,0.002832,15.899328,0.003645,16.09849,0.004945,,,-0.199162,-0.069075,-0.130087,,18270.9,14379.11,1.9543,418.46973,,,1.449993,B      
13630,13630,18.31430581777,52.50810472384,404178245285685120,1.2275,7.372,-7.088,-2.028,12.762703,0.002763,13.036631,0.002873,12.338703,0.003809,12.141775,0.03019,0.697928,0.273928,0.424,,6649.8,830.5315,1.7411,4.695503,1.382,1.969,0.49990147,A      
176672,76672,8.8511982293,65.20634132163,527175182253398656,0.1735,1.835,-1.833,-0.082,15.726057,0.002915,16.418564,0.003851,14.864569,0.004068,,,1.553995,0.692507,0.861488,,10856.8,1826.1747,1.626,34.811462,,,0.8095934,B      
